sample_type	treatment	treatment_2	concentration	concentration_2	value
line_1	drug_1	drug_2	0	3360	67950
line_1	drug_1	drug_2	0	6720	43330
line_1	drug_1	drug_2	0	13440	19292
line_1	DMSO	DMSO	0	0.0	80444
line_1	drug_1	drug_2	0	52.5	77451
line_1	drug_1	drug_2	0	105	77586
line_1	drug_1	drug_2	0	210	77362
line_1	drug_1	drug_2	0	420	77748
line_1	drug_1	drug_2	0	840	76327
line_1	drug_1	drug_2	0	1680	74194
line_1	drug_1	drug_2	0	3360	67700
line_1	drug_1	drug_2	0	6720	47981
line_1	drug_1	drug_2	0	13440	20024
line_1	DMSO	DMSO	0	0.0	80010
line_1	drug_1	drug_2	0	52.5	78893
line_1	drug_1	drug_2	0	105	76261
line_1	drug_1	drug_2	0	210	77027
line_1	drug_1	drug_2	0	420	77784
line_1	drug_1	drug_2	0	840	75162
line_1	drug_1	drug_2	0	1680	73349
line_1	drug_1	drug_2	0	3360	64327
line_1	drug_1	drug_2	0	6720	47258
line_1	drug_1	drug_2	0	13440	20284
line_2	DMSO	DMSO	0	0.0	57160
line_2	drug_1	drug_2	0	52.5	50619
line_2	drug_1	drug_2	0	105	44143
line_2	drug_1	drug_2	0	210	43114
line_2	drug_1	drug_2	0	420	40155
line_2	drug_1	drug_2	0	840	32002
line_2	drug_1	drug_2	0	1680	16976
line_2	drug_1	drug_2	0	3360	5810
line_2	drug_1	drug_2	0	6720	3122
line_2	drug_1	drug_2	0	13440	3578
line_2	DMSO	DMSO	0	0.0	58016
line_2	drug_1	drug_2	0	52.5	49243
line_2	drug_1	drug_2	0	105	50058
line_2	drug_1	drug_2	0	210	39802
line_2	drug_1	drug_2	0	420	42473
line_2	drug_1	drug_2	0	840	32736
line_2	drug_1	drug_2	0	1680	19650
line_2	drug_1	drug_2	0	3360	5991
line_2	drug_1	drug_2	0	6720	3303
line_2	drug_1	drug_2	0	13440	3583
line_2	DMSO	DMSO	0	0.0	58265
line_2	drug_1	drug_2	0	52.5	48046
line_2	drug_1	drug_2	0	105	46368
line_2	drug_1	drug_2	0	210	40639
line_2	drug_1	drug_2	0	420	40662
line_2	drug_1	drug_2	0	840	27036
line_2	drug_1	drug_2	0	1680	17660
line_2	drug_1	drug_2	0	3360	5450
line_2	drug_1	drug_2	0	6720	2942
line_2	drug_1	drug_2	0	13440	3701
line_1	DMSO	DMSO	0.0	0.0	79389
line_1	drug_1	drug_2	6.25	52.5	79729
line_1	drug_1	drug_2	12.5	105	82948
line_1	drug_1	drug_2	25	210	82705
line_1	drug_1	drug_2	50	420	84028
line_1	drug_1	drug_2	100	840	84828
line_1	drug_1	drug_2	200	1680	37597
line_1	drug_1	drug_2	400	3360	4338
line_1	drug_1	drug_2	800	6720	1770
line_1	drug_1	drug_2	1600	13440	849
line_1	DMSO	DMSO	0.0	0.0	79552
line_1	drug_1	drug_2	6.25	52.5	81259
line_1	drug_1	drug_2	12.5	105	82766
line_1	drug_1	drug_2	25	210	83862
line_1	drug_1	drug_2	50	420	87519
line_1	drug_1	drug_2	100	840	87016
line_1	drug_1	drug_2	200	1680	44503
line_1	drug_1	drug_2	400	3360	4539
line_1	drug_1	drug_2	800	6720	1734
line_1	drug_1	drug_2	1600	13440	852
line_1	DMSO	DMSO	0.0	0.0	80577
line_1	drug_1	drug_2	6.25	52.5	78337
line_1	drug_1	drug_2	12.5	105	82040
line_1	drug_1	drug_2	25	210	84512
line_1	drug_1	drug_2	50	420	86411
line_1	drug_1	drug_2	100	840	85396
line_1	drug_1	drug_2	200	1680	45405
line_1	drug_1	drug_2	400	3360	4898
line_1	drug_1	drug_2	800	6720	1566
line_1	drug_1	drug_2	1600	13440	876
line_2	DMSO	DMSO	0.0	0.0	55076
line_2	drug_1	drug_2	6.25	52.5	47425
line_2	drug_1	drug_2	12.5	105	46265
line_2	drug_1	drug_2	25	210	35021
line_2	drug_1	drug_2	50	420	14833
line_2	drug_1	drug_2	100	840	3229
line_2	drug_1	drug_2	200	1680	2245
line_2	drug_1	drug_2	400	3360	1373
line_2	drug_1	drug_2	800	6720	1030
line_2	drug_1	drug_2	1600	13440	664
line_2	DMSO	DMSO	0.0	0.0	55357
line_2	drug_1	drug_2	6.25	52.5	47916
line_2	drug_1	drug_2	12.5	105	43733
line_2	drug_1	drug_2	25	210	34191
line_2	drug_1	drug_2	50	420	18917
line_2	drug_1	drug_2	100	840	3559
line_2	drug_1	drug_2	200	1680	2317
line_2	drug_1	drug_2	400	3360	1641
line_2	drug_1	drug_2	800	6720	876
line_2	drug_1	drug_2	1600	13440	478
line_2	DMSO	DMSO	0.0	0.0	53554
line_2	drug_1	drug_2	6.25	52.5	44571
line_2	drug_1	drug_2	12.5	105	45868
line_2	drug_1	drug_2	25	210	33556
line_2	drug_1	drug_2	50	420	18580
line_2	drug_1	drug_2	100	840	3652
line_2	drug_1	drug_2	200	1680	2223
line_2	drug_1	drug_2	400	3360	1797
line_2	drug_1	drug_2	800	6720	801
line_2	drug_1	drug_2	1600	13440	601
